Question;Level
suppose prices of two goods are constant , explain what will happen to the budget line if there is an increase in consumer 's income. support your answer with an appropriate diagram.;Comprehension
explain the concept of price leadership observed under the condition of oligopoly , by using graphs.;Comprehension
define profit. briefly explain how accounting profit is different from economic profit.;Comprehension
describe the assumptions of monopolistic competitive market.;Comprehension
explain the meaning of the law of diminishing marginal returns. briefly describe the relationship between total product ( tp ) and marginal product ( mp ) , marginal product ( mp ) and average product ( ap ).;Comprehension
evaluate why a monopolist holds more undesirable characteristics in comparison to a perfect competitor. give evidence from the graph to support your answer.;Evaluation
using marginal approach , explain and identify how many unit of cd players should the firm producer per day if its goal is to maximize its profit.;Application
as opposed other curves , justify with explanation why average fixed costs 	( afc ) is negatively sloped.;Evaluation
identify whether the firm is in the short-run or long-run equilibrium. explain.;Comprehension
illustrate and explain how perfect competitive firms adjust in long-run if they are enjoying positive economic profit in short-run.;Comprehension
assuming that this monopolist is regulated to produce at that quantity where price equals average total cost. calculate and find out what is the quantity the monopolist will produce and the price it will charge given this regulatory scenario.;Application
identify three ( 3 ) types of imperfectly competitive firms and construct three ( 3 ) important characteristics of these imperfectly competitive firms.;Application
various policies were implemented by the governments in order to mitigate the concerns over efficient losses arising from natural monopoly. describe natural monopoly and provide one ( 1 ) example of natural monopoly.;Comprehension
describe prisoner dilemma in the context of game theory.;Knowledge
highlight the differences between an equilibrium in dominant strategy as compared to nash equilibrium.;Comprehension
state which market structure adopts this practice. list and briefly explain what are the conditions needed for this practice to be successful.;Comprehension
explain types of price discriminations.;Comprehension
by using appropriate diagrams , explain how a decreasing cost industry affects the long-run supply curve in a perfectly competitive market.;Comprehension
briefly explain the income-consumption curve. with the aid of diagrams , derive income-consumption curve and engel curve if there is an increase in income given that the good is an inferior good. explain your answer by showing at least two bundles of goods in the diagrams.;Comprehension
briefly explain the characteristics of monopolistic market structure.;Comprehension
 `` assume that there is one dominant firm in the industry that sets the price and then all the other firms in the industry behave like perfectly competitive price­ taking firms `` . by using appropriate diagrams , explain the underlying assumptions of the model stated in the statement.;Comprehension
explain the marginal cost relationship with average variable cost ( avc ) and average total cost ( atc ). support your answer by using an appropriate diagram.;Comprehension
jason spends all his income on meat and bread. assume bread as a giffen good , draw jason 's price consumption curve and demand curve for bread when the price of bread falls. support your answer with explanation for 3 consumption bundles.;Application
starting from a point of equilibrium , explain the case of a decreasing - cost industry in a perfectly competitive market with the aid of diagram ( s ).;Comprehension
list three ( 3 ) characteristics of monopolistic competition and explain how do firms in this market structure compete.;Comprehension
describe diminishing of marginal product and explain the relationship between average product and marginal product by using an appropriate diagram.;Comprehension
 `` economists state that both allocative and productive efficiencies are realized in the long-run equilibrium of a monopolistically competitive market `` . state whether you agree or disagree with the statement. graphically illustrate and explain the statement.;Analysis
determine the equilibrium price and quantity.;Application
determine the amount of shortage or surplus if government decides to impose the price at rm1.50 /kg. support your answer with numerical explanations.;Application
suppose milk and yogurt are within sophie 's budget and she views yogurt as an inferior good. using indifference curve and budget line , explain the substitution , income and total effects when the price of yogurt falls.;Application
explain the underlying assumptions of the price-leadership model by using appropriate diagrams.;Comprehension
justify the following statement. `` it is possible for a firm to experience diminishing marginal return and diseconomies of scale at the same time”.;Evaluation
describe the two ( 2 ) key differences between perfect competition and monopolistic competition.;Comprehension
the news reported that the chicken consumption in malaysia has fallen by 17.25 percent. use firm and industry diagrams to explain the short run and long run effects.;Application
“as additional units of a variable input are added to a fixed input , the marginal product of the variable input may at the beginning rises , subsequently falls and becomes negative in the short-run `` . explain this statement by using appropriate diagrams.;Comprehension
a manager of a small company makes the following statement - `` we need to keep hiring additional workers up to the point where the marginal productivity of the last worker we hire is at its maximum. this way we can maximize the total productivity of the firm. '' critically evaluate this statement.;Evaluation
draw a graph showing the demand curve faced by a perfectly competitive firm. on the same graph , draw the demand curve faced by a monopolistically competitive firm. explain your reasoning for each curve.;Comprehension
explain the price discriminations that associated with monopoly.;Comprehension
suppose firms in industry y are having an increase in demand. by using appropriate diagrams , explain the effect of an increase in demand and how industry y achieves the long-run equilibrium in perfect competition.;Analysis
sketch a graph that associates with a monopoly. find the profit-maximizing level of output and label it as q *. find the price that firm should charge and label it as p *. explain how the profit-maximizing output and price the firm should charge are determined. explain what the firm should do if marginal revenue is higher than marginal cost.;Analysis
 list and explain two ( 2 ) advantages and three ( 3 ) disadvantages of economic growth.;Comprehension
draw production possibilities frontier and trading possibilities frontier for china and south africa.;Comprehension
compute the value of the government multiplier and tax multiplier in an open economy.;Application
using the multiplier approach , suppose government increases spending to 2200 and decreases tax by 500 , calculate the new equilibrium output level and the new balance of trade.;Application
suppose that japan and south korea are trading partners. the exchange rate of yen for south korean won ( krw ) is floating freely. japanese had reduced their imports from south korea due to lack of demand for korean products. explain what will happen to yen by using an appropriate diagram. give five reasons why demand for a foreign currency may increase.;Analysis
determine which country enjoys comparative advantage in the production of cotton and silk respectively. support your answer by calculating the opportunity costs of each.;Application
draw production possibilities frontier and trading possibilities frontier for china and thailand. clearly label the total output before specialization and total output after trade in the diagrams.;Comprehension
inflation is one of the major concerns of all countries in the world. discuss how the bank negara malaysia ( bnm ) would fight against inflation problem and by using appropriate diagrams , show how the bnm actions affect the investment level and equilibrium output level.;Application
explain the effect of a cut in taxes of $100 billion on the economy if the marginal propensity to consume were 0.9. explain why this policy is much different from simply having the government initiate a $100 billion spending program. support your answer with specific calculations.;Analysis
explain why a sustained inflation is a purely monetary phenomenon and cannot exist without the cooperation of the bank negara malaysia ( bnm ).;Comprehension
explain why the effectiveness of an expansionary monetary policy in increasing aggregate output is partially dependent on the interest sensitivity of the demand for money.;Analysis
calculate the equilibrium level of income for cambodia.;Application
calculate the balance of trade when the economy is at equilibrium and interpret your answer.;Application
calculate the level of output needed to be achieved by cambodia in order to maintain a balanced trade account.;Application
determine the values of cambodia 's government spending multiplier in closed and open economy. explain which multiplier has the greater impact on the cambodia economy.;Application
malaysia is currently having trade deficit and policy maker tries to improve the balance of trade by depreciate the ringgit malaysia. discuss the impact of this policy by using an appropriate diagram.;Comprehension
list and explain the five ( 5 ) institutional structures that can promote and sustained economic growth.;Comprehension
assume that saudi arabia is currently operating at the natural level of output. however , due to the political uncertainty it leads to an increase in oil price. discuss the effects of the event on the price level , unemployment and output in the long run and short run in saudi arabia by using appropriate diagrams. besides , suggest the policy that can be implemented by saudi arabia in order to achieve long run equilibrium after the event.;Synthesis
assume that japan is currently operating at the natural level of output. investor is optimistic about the future due to the outstanding performance in the stock market. explain the effect of event to the price level and output level in the short run and long run in japan by using an appropriate diagram.;Comprehension
list and explain the reason why the aggregate demand curve is downward slopping.;Comprehension
in order to achieve high economy growth the government can implement expansionary fiscal policy , however , the effect of an increase in government spending can be taken aback by crowding out effect. recommend and graphically explain the action that can be taken by bank negara malaysia ( bnm ) to avoid this problem.;Synthesis
money growth is always interrelated with inflation phenomenon. explain how the growth of money will affect the economy when the economy is operating at the full capacity. illustrate by using an appropriate diagram.;Analysis
describe price feedback effect by using relevant example.;Comprehension
identify which country has an absolute advantage in the production of sugar cane and blue agave.;Knowledge
suppose the two countries wish to specialize and trade. specifically determine and explain which country enjoys comparative advantage in the production of sugar cane and blue agave.;Application
draw production possibilities frontier and trading possibilities frontier for argentina and mexico.;Comprehension
in order to reduce the international competition to protect some major sector of the economy. list and explain three ( 3 ) instruments that can use to protect our domestic industries.;Comprehension
output and capital are increasing more rapidly than labour in the pharmaceutical industry. however , labour is increasing faster than capital and output in the agriculture industry. evaluate the different in the output growth and productivity between these two industries.;Evaluation
thailand currently experiences a 17 % unemployment rate and the investors in the country are sensitive towards changes in the interest rate. explain to your friend the policy to be taken by central bank of thailand to achieve 3 % of unemployment rate by using appropriate diagram ( s ).;Comprehension
japan is operating above the potential output level. as a committee member of central bank , suggest a policy that should be implemented in order to restore japan 's potential output level. using appropriate diagram ( s ) , explain the effect of the policy on price and unemployment level in short run and long run.;Synthesis
identify which country has an absolute advantage and comparative advantage in the production of pizza and cloth.;Comprehension
draw production possibilities frontier and trading possibilities frontier for korea and indonesia.;Comprehension
explain three ( 3 ) reasons why ad curve is downward sloping.;Comprehension
calculate the equilibrium level of output for four sectors economy with taxes.;Application
calculate the balance of trade when the economy is at equilibrium.;Application
using the open economy multiplier approach , calculate the new equilibrium output level and new balance of trade if the government decreases spending to rm 1200 million and increases tax by rm 300 million.;Application
describe the economic growth and four ( 4 ) sources of economic growth.;Knowledge
the unemployment problem can be overcome by increasing the aggregate output in a country. explain three ( 3 ) multiplier concepts that can be applied in this problem.;Application
calculate the equilibrium level of income for this economy.;Application
calculate the balance of trade when the economy is at equilibrium and interpret the answer.;Application
calculate the level of output japan needs to achieve in order to maintain a balanced trade account.;Application
determine the values of government multiplier and tax multiplier in open economy for japan. explain which multiplier has greater impact on the economy.;Application
assume that an economy is initially below the natural rate of output , due to the stock market crash in 2008. explain what policy the government can implement in order to return the output to the natural level by using appropriate diagram.;Comprehension
define economic growth. list and explain how the public policies can promote economic growth.;Comprehension
the malaysian economy is currently operating at the natural level of output. in order to be a high-income country in 2020 , government of malaysia decides to increase the government spending. discuss the effects of the event on the price level , unemployment and output in the long run and short run in malaysia with appropriate diagrams.;Comprehension
explain how currency depreciation will affect export , import and the balance of trade of the country.;Analysis
explain how human capital can lead to economic growth.;Comprehension
define terms of trade and identify which country has an absolute advantage in the production of jade and diamond.;Comprehension
suppose the two countries wish to specialize and trade. specifically determine and explain which country enjoys comparative advantage in the production of jade and diamond.;Application
corporate bond is a debt contract ( indenture ) that requires borrowers to make periodic payment of interest and repayment of principal at the end of maturity date. explain the type of market for corporate bond.;Comprehension
discuss four ( 4 ) factors affecting exchange rate in the long run.;Comprehension
define bank capital and elaborate the functions of bank capital.;Comprehension
a banker 's acceptance ( ba ) is a promised future payment , or time draft , which is accepted and guaranteed by a bank and drawn on a deposit at the bank. the ba specifies the amount of money , the date , and the person to whom the payment is due. draw and explain the sequence of a banker 's acceptance transaction.;Application
describe three ( 3 ) advantages of the banker 's acceptance towards either exporter or importer.;Knowledge
define and explain the three ( 3 ) steps of bringing a new security issue in primary market.;Comprehension
list five ( 5 ) differences between forward and future market.;Knowledge
list and briefly describe four ( 4 ) types of secondary equity markets.;Knowledge
explain four ( 4 ) factors in the globalization of financial markets.;Comprehension
describe the two ( 2 ) conditions that lead to bank failures. provide the examples of bank failures that happened in the past with a specific time frame.;Comprehension
letter of credit is a written promises to pay third party on clients behalf. explain the functions of commercial letter of credit and standby letter of credit.;Comprehension
give three ( 3 ) examples of common uses of standby letter of credit.;Comprehension
define solvency and liquidity. give some simple strategies that banks can follow to avoid insolvency or illiquidity. state reasons banks might option not to adopt these strategies.;Comprehension
list five ( 5 ) major business activities of investment banks.;Knowledge
municipal bonds are securities issued by local , county and state government. identify three ( 3 ) types of municipal bonds that available in the market.;Knowledge
differentiate between repurchase agreement ( repo ) and reverse repurchase agreement.;Analysis
discuss the actions of central bank towards monetary policy that will significantly influence federal funds rate in short run.;Comprehension
a five-year , rm1,000 par value bond with a 6 percent semi-annual coupon is trading at current yield of 4 percent. compute the duration of the bond.;Application
based on your knowledge , describe two ( 2 ) foreign bonds that are well known in the market.;Knowledge
analyze three ( 3 ) factors that can affect the option premium.;Analysis
briefly explain three ( 3 ) main sources of banks earnings.;Comprehension
describe three ( 3 ) deposit liabilities for commercial banks.;Knowledge
new issues are called primary issues , that reflect to the first issued of security in the primary market. elaborate the steps of bringing a new security to the market.;Comprehension
