;Question;Answer;BT_Level
0;to whom did the virgin mary allegedly appear in 1858 in lourdes france ?;it is a replica of the grotto at lourdes , france where the virgin mary reputedly appeared to saint bernadette soubirous in 1858 .;Knowledge
1;what is in front of the notre dame main building ?;immediately in front of the main building and facing it , is a copper statue of christ with arms upraised with the legend `` venite ad me omnes '' .;Knowledge
2;the basilica of the sacred heart at notre dame is beside to which structure ?;next to the main building is the basilica of the sacred heart .;Knowledge
3;what is the grotto at notre dame ?;immediately behind the basilica is the grotto , a marian place of prayer and reflection .;Knowledge
4;what sits on top of the main building at notre dame ?;atop the main building 's gold dome is a golden statue of the virgin mary .;Knowledge
5;when did the scholastic magazine of notre dame begin publishing ?;begun as a one-page journal in september 1876 , the scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the united states .;Knowledge
6;how often is notre dame 's the juggler published ?;the other magazine , the juggler , is released twice a year and focuses on student literature and artwork .;Knowledge
7;what is the daily student paper at notre dame called ?;the newspapers have varying publication interests , with the observer published daily and mainly reporting university and other news , and staffed by students from both notre dame and saint mary 's college .;Knowledge
8;how many student news papers are found at notre dame ?;the nine student-run outlets include three newspapers , both a radio and television station , and several magazines and journals .;Knowledge
9;in what year did the student paper common sense begin publication at notre dame ?;in 1987 , when some students believed that the observer began to show a conservative bias , a liberal newspaper , common sense was published .;Knowledge
10;where is the headquarters of the congregation of the holy cross ?;the university is the major seat of the congregation of holy cross ( albeit not its official headquarters , which are in rome ) .;Knowledge
11;what is the primary seminary of the congregation of the holy cross ?;its main seminary , moreau seminary , is located on the campus across st. joseph lake from the main building .;Knowledge
12;what is the oldest structure at notre dame ?;old college , the oldest building on campus and located near the shore of st. mary lake , houses undergraduate seminarians .;Knowledge
13;what individuals live at fatima house at notre dame ?;retired priests and brothers reside in fatima house ( a former retreat center ) , holy cross house , as well as columba hall near the grotto .;Knowledge
14;which prize did frederick buechner create ?;while not catholic , buechner has praised writers from notre dame and moreau seminary created a buechner prize for preaching .;Knowledge
15;how many bs level degrees are offered in the college of engineering at notre dame ?;today the college , housed in the fitzpatrick , cushing , and stinson-remick halls of engineering , includes five departments of study -- aerospace and mechanical engineering , chemical and biomolecular engineering , civil engineering and geological sciences , computer science and engineering , and electrical engineering -- with eight b.s. degrees offered .;Knowledge
16;in what year was the college of engineering at notre dame formed ?;the college of engineering was established in 1920 , however , early courses in civil and mechanical engineering were a part of the college of science since the 1870s .;Knowledge
17;before the creation of the college of engineering similar studies were carried out at which notre dame college ?;the college of engineering was established in 1920 , however , early courses in civil and mechanical engineering were a part of the college of science since the 1870s .;Knowledge
